country,normalized_light_intensity,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,year,geometry
Taiwan,0.4016346844937926,54504.25,43106.25,7.0,399.25,2020,"POLYGON ((120.195922851562 22.9887381609607, 120.201416015625 22.9887381609607, 120.201416015625 22.9836811603309, 120.195922851562 22.9836811603309, 120.195922851562 22.9887381609607))"
Taiwan,0.4711705603307036,64897.5,47008.5,6.75,172.25,2020,"POLYGON ((120.195922851562 22.9937949722422, 120.201416015625 22.9937949722422, 120.201416015625 22.9887381609607, 120.195922851562 22.9887381609607, 120.195922851562 22.9937949722422))"
Taiwan,0.4625462487368386,58329.75,36440.0,10.75,118.75,2020,"POLYGON ((120.195922851562 22.9988515941429, 120.201416015625 22.9988515941429, 120.201416015625 22.9937949722422, 120.195922851562 22.9937949722422, 120.195922851562 22.9988515941429))"
Taiwan,0.4198287719898349,62698.5,30763.5,10.75,185.75,2020,"POLYGON ((120.195922851562 23.0039080266307, 120.201416015625 23.0039080266307, 120.201416015625 22.9988515941429, 120.195922851562 22.9988515941429, 120.195922851562 23.0039080266307))"
Taiwan,0.333992961861814,76509.0,38166.0,8.5,254.0,2020,"POLYGON ((120.195922851562 23.0089642696731, 120.201416015625 23.0089642696731, 120.201416015625 23.0039080266307, 120.195922851562 23.0039080266307, 120.195922851562 23.0089642696731))"
Taiwan,0.3026273558265228,69324.5,36614.0,10.0,137.75,2020,"POLYGON ((120.195922851562 23.014020323238, 120.201416015625 23.014020323238, 120.201416015625 23.0089642696731, 120.195922851562 23.0089642696731, 120.195922851562 23.014020323238))"
Taiwan,0.3066070549882405,63309.75,31167.0,11.75,88.75,2020,"POLYGON ((120.201416015625 22.9887381609607, 120.206909179688 22.9887381609607, 120.206909179688 22.9836811603309, 120.201416015625 22.9836811603309, 120.201416015625 22.9887381609607))"
Taiwan,0.3876973499416491,83307.5,32787.0,10.0,149.0,2020,"POLYGON ((120.201416015625 22.9937949722422, 120.206909179688 22.9937949722422, 120.206909179688 22.9887381609607, 120.201416015625 22.9887381609607, 120.201416015625 22.9937949722422))"
Taiwan,0.4215927363935414,40883.5,24459.0,9.25,174.75,2020,"POLYGON ((120.201416015625 22.9988515941429, 120.206909179688 22.9988515941429, 120.206909179688 22.9937949722422, 120.201416015625 22.9937949722422, 120.201416015625 22.9988515941429))"
Taiwan,0.3879647457657124,82267.75,35362.75,11.25,233.25,2020,"POLYGON ((120.201416015625 23.0039080266307, 120.206909179688 23.0039080266307, 120.206909179688 22.9988515941429, 120.201416015625 22.9988515941429, 120.201416015625 23.0039080266307))"
Taiwan,0.3171532370203602,82263.25,40761.5,12.0,199.75,2020,"POLYGON ((120.201416015625 23.0089642696731, 120.206909179688 23.0089642696731, 120.206909179688 23.0039080266307, 120.201416015625 23.0039080266307, 120.201416015625 23.0089642696731))"
Taiwan,0.3025405962232167,85635.5,42740.5,11.0,453.0,2020,"POLYGON ((120.201416015625 23.014020323238, 120.206909179688 23.014020323238, 120.206909179688 23.0089642696731, 120.201416015625 23.0089642696731, 120.201416015625 23.014020323238))"
Taiwan,0.3147562140108678,83532.75,40192.75,10.5,87.25,2020,"POLYGON ((120.206909179688 22.9887381609607, 120.21240234375 22.9887381609607, 120.21240234375 22.9836811603309, 120.206909179688 22.9836811603309, 120.206909179688 22.9887381609607))"
Taiwan,0.3616237872821288,69348.0,35725.25,11.0,187.5,2020,"POLYGON ((120.206909179688 22.9937949722422, 120.21240234375 22.9937949722422, 120.21240234375 22.9887381609607, 120.206909179688 22.9887381609607, 120.206909179688 22.9937949722422))"
Taiwan,0.3885594373030175,59750.25,33845.25,10.5,175.25,2020,"POLYGON ((120.206909179688 22.9988515941429, 120.21240234375 22.9988515941429, 120.21240234375 22.9937949722422, 120.206909179688 22.9937949722422, 120.206909179688 22.9988515941429))"
Taiwan,0.363239084729061,77526.0,37351.25,8.75,52.25,2020,"POLYGON ((120.206909179688 23.0039080266307, 120.21240234375 23.0039080266307, 120.21240234375 22.9988515941429, 120.206909179688 22.9988515941429, 120.206909179688 23.0039080266307))"
Taiwan,0.3123345481917093,84627.0,41075.75,8.25,61.25,2020,"POLYGON ((120.206909179688 23.0089642696731, 120.21240234375 23.0089642696731, 120.21240234375 23.0039080266307, 120.206909179688 23.0039080266307, 120.206909179688 23.0089642696731))"
Taiwan,0.3169577621610053,92120.25,41684.5,9.75,194.5,2020,"POLYGON ((120.21240234375 22.9836811603309, 120.217895507812 22.9836811603309, 120.217895507812 22.9786239703849, 120.21240234375 22.9786239703849, 120.21240234375 22.9836811603309))"
Taiwan,0.3113858474399851,92120.25,41684.5,9.75,194.5,2020,"POLYGON ((120.21240234375 22.9836811603309, 120.217895507812 22.9836811603309, 120.217895507812 22.9786239703849, 120.21240234375 22.9786239703849, 120.21240234375 22.9836811603309))"
Taiwan,0.3303194168110749,67755.75,33573.0,9.75,139.25,2020,"POLYGON ((120.21240234375 22.9887381609607, 120.217895507812 22.9887381609607, 120.217895507812 22.9836811603309, 120.21240234375 22.9836811603309, 120.21240234375 22.9887381609607))"
Taiwan,0.302339675919391,67755.75,33573.0,9.75,139.25,2020,"POLYGON ((120.21240234375 22.9887381609607, 120.217895507812 22.9887381609607, 120.217895507812 22.9836811603309, 120.21240234375 22.9836811603309, 120.21240234375 22.9887381609607))"
Taiwan,0.3454289642954298,75586.0,38511.75,10.25,68.75,2020,"POLYGON ((120.21240234375 22.9937949722422, 120.217895507812 22.9937949722422, 120.217895507812 22.9887381609607, 120.21240234375 22.9887381609607, 120.21240234375 22.9937949722422))"
Taiwan,0.3459425274038634,55607.0,30719.5,10.25,46.5,2020,"POLYGON ((120.21240234375 22.9988515941429, 120.217895507812 22.9988515941429, 120.217895507812 22.9937949722422, 120.21240234375 22.9937949722422, 120.21240234375 22.9988515941429))"
Taiwan,0.3012605611194632,55607.0,30719.5,10.25,46.5,2020,"POLYGON ((120.21240234375 22.9988515941429, 120.217895507812 22.9988515941429, 120.217895507812 22.9937949722422, 120.21240234375 22.9937949722422, 120.21240234375 22.9988515941429))"
Taiwan,0.3234298823546892,65363.75,58585.75,12.25,9.25,2020,"POLYGON ((120.21240234375 23.0039080266307, 120.217895507812 23.0039080266307, 120.217895507812 22.9988515941429, 120.21240234375 22.9988515941429, 120.21240234375 23.0039080266307))"
Taiwan,0.3008465413682275,90580.0,40464.25,9.75,128.25,2020,"POLYGON ((120.217895507812 22.9836811603309, 120.223388671875 22.9836811603309, 120.223388671875 22.9786239703849, 120.217895507812 22.9786239703849, 120.217895507812 22.9836811603309))"
