longitude,latitude,light_intensity,year,normalized_light_intensity
121.2416690766,25.0874996007,112.483055,2021,0.4366412617037
121.2458357433,25.0874996007,88.70336,2021,0.3443322821180268
121.2333357432,25.083332934,117.625626,2021,0.4566039013194258
121.2375024099,25.083332934,216.55983,2021,0.8406506865015251
121.2416690766,25.083332934,191.10382,2021,0.7418345197078511
121.2458357433,25.083332934,91.142525,2021,0.3538007312377942
121.5541690791,25.083332934,81.63471,2021,0.316892911320871
121.5583357458,25.083332934,81.29353,2021,0.315568505029914
121.2291690765,25.0791662673,99.377426,2021,0.3857673022261539
121.2333357432,25.0791662673,195.83171,2021,0.7601874338849802
121.2375024099,25.0791662673,257.60977,2021,1.0
121.2416690766,25.0791662673,219.42119,2021,0.8517580292082865
121.2458357433,25.0791662673,86.47675,2021,0.3356889375740678
121.2291690765,25.0749996006,112.65082,2021,0.437292498650187
121.2333357432,25.0749996006,189.42072,2021,0.7353009942130687
121.2375024099,25.0749996006,196.1805,2021,0.7615413809810085
121.2416690766,25.0749996006,138.47475,2021,0.537536872145804
121.2333357432,25.0708329339,89.76592,2021,0.3484569704013943
121.4833357452,25.0624996005,81.12003,2021,0.3148950057290141
121.4833357452,25.0583329338,85.00741,2021,0.3299851942727171
121.4875024119,25.0583329338,87.850525,2021,0.3410217128022745
121.4916690786,25.0583329338,81.073975,2021,0.3147162275716483
121.4791690785,25.0541662671,77.930504,2021,0.3025137750016235
121.4833357452,25.0541662671,84.01183,2021,0.3261205116560602
121.4875024119,25.0541662671,90.77469,2021,0.352372854492281
121.4916690786,25.0541662671,78.02513,2021,0.302881098026678
121.5125024121,25.0541662671,82.81614,2021,0.321479033966763
121.5166690788,25.0541662671,83.00667,2021,0.3222186410088405
121.5208357455,25.0541662671,80.78739,2021,0.3136037503546546
121.5250024122,25.0541662671,78.30575,2021,0.3039704200659781
121.5750024126,25.0541662671,77.74368,2021,0.3017885540598867
121.5791690793,25.0541662671,77.48663,2021,0.3007907269976601
121.5083357454,25.0499996004,84.66217,2021,0.328645027709935
121.5125024121,25.0499996004,95.2483,2021,0.3697386943049559
121.5166690788,25.0499996004,96.57317,2021,0.3748816281307964
121.5208357455,25.0499996004,92.167915,2021,0.3577811315153147
121.5250024122,25.0499996004,87.36091,2021,0.3391211055388155
