country,normalized_light_intensity,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,geometry
The Philippines,0.3731104861022713,54243.75,39886.5,15.25,386.75,"POLYGON ((120.986938476562 14.5463670411195, 120.992431640625 14.5463670411195, 120.992431640625 14.5410498980604, 120.986938476562 14.5410498980604, 120.986938476562 14.5463670411195))"
The Philippines,0.3078031803684435,58435.5,14984.75,20.5,258.75,"POLYGON ((120.9814453125 14.5463670411195, 120.986938476562 14.5463670411195, 120.986938476562 14.5410498980604, 120.9814453125 14.5410498980604, 120.9814453125 14.5463670411195))"
The Philippines,0.3598057735028189,54347.25,21584.0,19.75,423.25,"POLYGON ((120.9814453125 14.5410498980604, 120.986938476562 14.5410498980604, 120.986938476562 14.5357326270088, 120.9814453125 14.5357326270088, 120.9814453125 14.5410498980604))"
The Philippines,0.3180273001582449,41725.5,21322.25,26.5,304.5,"POLYGON ((120.9814453125 14.5357326270088, 120.986938476562 14.5357326270088, 120.986938476562 14.5304152280074, 120.9814453125 14.5304152280074, 120.9814453125 14.5357326270088))"
The Philippines,0.3225816547118281,43421.0,38784.5,14.5,544.25,"POLYGON ((120.975952148438 14.5835834551565, 120.9814453125 14.5835834551565, 120.9814453125 14.5782672092405, 120.975952148438 14.5782672092405, 120.975952148438 14.5835834551565))"
The Philippines,0.3411806740795433,43387.5,34155.75,12.5,637.0,"POLYGON ((120.9814453125 14.5835834551565, 120.986938476562 14.5835834551565, 120.986938476562 14.5782672092405, 120.9814453125 14.5782672092405, 120.9814453125 14.5835834551565))"
The Philippines,0.3302927336415071,66568.75,65898.0,8.75,657.75,"POLYGON ((120.986938476562 14.5835834551565, 120.992431640625 14.5835834551565, 120.992431640625 14.5782672092405, 120.986938476562 14.5782672092405, 120.986938476562 14.5835834551565))"
The Philippines,0.3742461337982316,71141.5,69831.0,8.25,832.5,"POLYGON ((120.9814453125 14.5942155619439, 120.986938476562 14.5942155619439, 120.986938476562 14.5888995727386, 120.9814453125 14.5888995727386, 120.9814453125 14.5942155619439))"
The Philippines,0.4436983205664988,54484.5,56292.25,9.25,275.5,"POLYGON ((120.9814453125 14.5888995727386, 120.986938476562 14.5888995727386, 120.986938476562 14.5835834551565, 120.9814453125 14.5835834551565, 120.9814453125 14.5888995727386))"
The Philippines,0.3391689251809817,72994.0,81665.25,11.0,63.25,"POLYGON ((120.975952148438 14.5888995727386, 120.9814453125 14.5888995727386, 120.9814453125 14.5835834551565, 120.975952148438 14.5835834551565, 120.975952148438 14.5888995727386))"
The Philippines,0.3583230668547242,56518.5,58439.25,9.25,153.0,"POLYGON ((120.975952148438 14.5942155619439, 120.9814453125 14.5942155619439, 120.9814453125 14.5888995727386, 120.975952148438 14.5888995727386, 120.975952148438 14.5942155619439))"
The Philippines,0.3626675601952652,53075.25,50042.75,13.5,242.25,"POLYGON ((120.970458984375 14.5942155619439, 120.975952148438 14.5942155619439, 120.975952148438 14.5888995727386, 120.970458984375 14.5888995727386, 120.970458984375 14.5942155619439))"
The Philippines,0.3479784794040252,44151.25,41770.75,29.5,150.5,"POLYGON ((120.970458984375 14.5888995727386, 120.975952148438 14.5888995727386, 120.975952148438 14.5835834551565, 120.970458984375 14.5835834551565, 120.970458984375 14.5888995727386))"
The Philippines,0.6223656230686193,34808.0,31814.75,16.0,40.5,"POLYGON ((120.964965820312 14.5888995727386, 120.970458984375 14.5888995727386, 120.970458984375 14.5835834551565, 120.964965820312 14.5835834551565, 120.964965820312 14.5888995727386))"
The Philippines,0.4676961888826383,53111.75,49506.25,10.5,49.5,"POLYGON ((120.964965820312 14.5942155619439, 120.970458984375 14.5942155619439, 120.970458984375 14.5888995727386, 120.964965820312 14.5888995727386, 120.964965820312 14.5942155619439))"
The Philippines,0.3442872193189509,46704.75,32407.75,4.0,17.5,"POLYGON ((120.95947265625 14.5888995727386, 120.964965820312 14.5888995727386, 120.964965820312 14.5835834551565, 120.95947265625 14.5835834551565, 120.95947265625 14.5888995727386))"
The Philippines,0.3657589623556039,34918.75,41412.0,57.5,83.25,"POLYGON ((120.970458984375 14.5835834551565, 120.975952148438 14.5835834551565, 120.975952148438 14.5782672092405, 120.970458984375 14.5782672092405, 120.970458984375 14.5835834551565))"
The Philippines,0.682740152642681,20489.75,22564.5,7.5,1.75,"POLYGON ((120.948486328125 14.5995314227299, 120.953979492188 14.5995314227299, 120.953979492188 14.5942155619439, 120.948486328125 14.5942155619439, 120.948486328125 14.5995314227299))"
